corrupt_found,axis,optimal,random,method,dataset,noise_rate,model
0.62,0.47619047619047616,1.0,0.47619047619047616,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.7,0.5238095238095238,1.0,0.5238095238095238,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.8,0.5714285714285714,1.0,0.5714285714285714,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.84,0.6190476190476191,1.0,0.6190476190476191,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.88,0.6666666666666666,1.0,0.6666666666666666,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.92,0.7142857142857143,1.0,0.7142857142857143,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.94,0.7619047619047619,1.0,0.7619047619047619,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.94,0.8095238095238095,1.0,0.8095238095238095,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.94,0.8571428571428571,1.0,0.8571428571428571,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.96,0.9047619047619048,1.0,0.9047619047619048,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
1.0,0.9523809523809523,1.0,0.9523809523809523,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,0.0,0.0,0.0,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.56,0.047619047619047616,0.9523809523809523,0.047619047619047616,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.66,0.09523809523809523,1.0,0.09523809523809523,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.7,0.14285714285714285,1.0,0.14285714285714285,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.76,0.19047619047619047,1.0,0.19047619047619047,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.8,0.23809523809523808,1.0,0.23809523809523808,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
